ClienteID;Edad;GeneroID;Ingresos;FrecuenciaID;Frecuencia;TiposCocinaID;TiposCocina;MomentoDelDiaID;MomentoDelDia;CantidadPorGrupo;OcasionID;Ocasión;Fidelidad;Fecha;GastoProm;InTakeAwayID;ReservaOnline;DeliveryOrden;TiempoEspera;RatingServicio;RatingComida;RatingAmbiente;RatingAlto
1;35;0;83380;2;Weekly;2;Chinese;0;Breakfast;3;0;Business;1;1/7/2023;28;0;0;1;44;2;5;4;0
2;19;0;43623;0;Rarely;0;American;2;Dinner;1;1;Casual;0;1/7/2023;115;1;0;0;58;5;5;3;0
3;41;1;83737;2;Weekly;0;American;2;Dinner;6;2;Celebration;0;1/7/2023;107;1;0;1;49;3;4;5;0
4;43;0;96768;0;Rarely;1;Indian;1;Lunch;1;2;Celebration;0;1/7/2023;44;1;0;0;8;4;5;1;0
5;55;1;67937;1;Monthly;2;Chinese;0;Breakfast;1;0;Business;1;1/7/2023;148;0;0;0;38;2;3;5;0
6;42;1;28860;1;Monthly;2;Chinese;2;Dinner;8;2;Celebration;1;1/7/2023;111;0;0;1;27;4;5;3;0
7;20;1;131104;2;Weekly;1;Indian;1;Lunch;6;0;Business;0;1/7/2023;120;1;0;0;8;5;4;1;0
8;51;1;137882;2;Weekly;3;Mexican;2;Dinner;6;0;Business;0;1/7/2023;161;1;1;1;56;4;3;3;0
9;27;0;149638;2;Weekly;1;Indian;0;Breakfast;5;2;Celebration;0;1/7/2023;57;0;0;1;40;2;4;5;0
10;32;1;136145;2;Weekly;4;Italian;1;Lunch;9;1;Casual;0;2/7/2023;66;0;0;0;21;4;3;1;0
11;21;0;79249;1;Monthly;0;American;0;Breakfast;5;0;Business;0;2/7/2023;39;0;0;1;19;1;3;2;0
12;59;0;94208;2;Weekly;4;Italian;2;Dinner;8;1;Casual;1;2/7/2023;133;1;0;0;55;3;3;3;0
13;32;1;143471;1;Monthly;0;American;0;Breakfast;4;1;Casual;0;2/7/2023;156;0;0;1;5;5;2;4;0
14;69;0;38433;3;Daily;4;Italian;2;Dinner;4;0;Business;1;2/7/2023;46;0;0;1;20;1;4;3;0
15;58;0;64870;1;Monthly;0;American;1;Lunch;2;2;Celebration;1;2/7/2023;89;1;0;0;58;2;4;2;0
16;54;1;135616;0;Rarely;0;American;1;Lunch;2;0;Business;0;2/7/2023;112;0;1;0;2;4;4;3;0
17;59;1;123325;2;Weekly;2;Chinese;2;Dinner;4;1;Casual;1;2/7/2023;64;0;1;0;3;3;5;5;1
18;42;0;25569;1;Monthly;0;American;2;Dinner;3;1;Casual;1;2/7/2023;120;1;0;0;55;1;3;3;0
19;26;1;120447;2;Weekly;3;Mexican;2;Dinner;1;1;Casual;1;2/7/2023;52;0;1;1;21;3;1;3;0
20;58;0;70458;0;Rarely;4;Italian;2;Dinner;4;1;Casual;1;2/7/2023;197;0;1;0;40;1;2;1;0
21;27;1;41450;2;Weekly;2;Chinese;2;Dinner;5;2;Celebration;0;2/7/2023;15;1;0;0;10;1;1;3;0
22;40;1;85259;1;Monthly;1;Indian;2;Dinner;9;0;Business;1;2/7/2023;61;1;0;1;13;3;2;5;0
23;20;1;116507;2;Weekly;2;Chinese;2;Dinner;5;2;Celebration;0;2/7/2023;170;0;0;0;12;4;4;5;0
24;51;0;40666;2;Weekly;3;Mexican;1;Lunch;6;1;Casual;1;2/7/2023;55;0;0;1;25;2;2;3;0
25;21;0;62296;2;Weekly;4;Italian;1;Lunch;7;1;Casual;0;2/7/2023;161;0;0;1;35;3;3;3;0
26;40;1;38099;2;Weekly;2;Chinese;0;Breakfast;1;1;Casual;1;2/7/2023;119;1;1;1;21;3;2;1;0
27;51;0;105609;0;Rarely;2;Chinese;2;Dinner;6;0;Business;0;2/7/2023;13;0;1;0;24;5;1;5;0
28;68;0;82470;2;Weekly;0;American;0;Breakfast;1;2;Celebration;1;2/7/2023;146;1;1;0;5;2;4;1;1
29;49;1;49402;2;Weekly;0;American;1;Lunch;7;2;Celebration;0;3/7/2023;92;0;0;0;22;3;1;4;0
30;59;0;72461;0;Rarely;4;Italian;1;Lunch;3;2;Celebration;0;3/7/2023;153;0;0;0;21;5;3;2;0
31;68;1;87140;2;Weekly;2;Chinese;1;Lunch;3;0;Business;1;3/7/2023;141;1;0;1;27;3;1;1;0
32;18;1;25148;2;Weekly;0;American;1;Lunch;3;2;Celebration;0;3/7/2023;174;0;0;1;56;3;5;5;0
